№;Город;Регион;Федеральный округ;Население;Основание или первое упоминание
1;Абаза;Хакасия;Сибирский;17 111;1867
2;Абакан;Хакасия;Сибирский;165 183;1931
3;Абдулино;Оренбургская область;Приволжский;20 663;1795
4;Абинск;Краснодарский край;Южный;34 926;1863
5;Агидель;Башкортостан;Приволжский;16 365;1980
6;Агрыз;Татарстан;Приволжский;19 299;1646
7;Адыгейск;Адыгея;Южный;12 689;1973
8;Азнакаево;Татарстан;Приволжский;34 859;1762
9;Азов;Ростовская область;Южный;82 882;1067
10;Ак-Довурак;Тыва;Сибирский;13 469;1964
11;Аксай;Ростовская область;Южный;41 984;1957
12;Алагир;Северная Осетия - Алания;Северо-Кавказский;20 949;1850
13;Алапаевск;Свердловская область;Уральский;38 198;1639
14;Алатырь;Чувашия;Приволжский;38 202;1552
15;Алдан;Якутия;Дальневосточный;21 277;1924
16;Алейск;Алтайский край;Сибирский;28 528;1913
17;Александров;Владимирская область;Центральный;61 544;14 век
18;Александровск;Пермский край;Приволжский;15 022;1783
19;Александровск-Сахалинский;Сахалинская область;Дальневосточный;10 613;1869
20;Алексеевка;Белгородская область;Центральный;39 026;1685
21;Алексин;Тульская область;Центральный;61 738;1348
22;Алзамай;Иркутская область;Сибирский;6 751;1899
23;Алупка;Крым;Южный;8 497;960
24;Алушта;Крым;Южный;28 642;6 век
25;Альметьевск;Татарстан;Приволжский;146 309;18 век
26;Амурск;Хабаровский край;Дальневосточный;42 977;1958
27;Анадырь;Чукотский АО;Дальневосточный;13 053;1889
28;Анапа;Краснодарский край;Южный;58 983;1781
29;Ангарск;Иркутская область;Сибирский;233 765;1948
30;Андреаполь;Тверская область;Центральный;8 265;1907
31;Анжеро-Судженск;Кемеровская область;Сибирский;76 669;1896
32;Анива;Сахалинская область;Дальневосточный;8 449;1886
33;Апатиты;Мурманская область;Северо-Западный;59 690;1926
34;Апрелевка;Московская область;Центральный;18 467;1899
35;Апшеронск;Краснодарский край;Южный;40 229;1863
36;Арамиль;Свердловская область;Уральский;14 227;1675
37;Аргун;Чечня;Северо-Кавказский;29 528;18 век
38;Ардатов;Мордовия;Приволжский;9 400;1671
39;Ардон;Северная Осетия - Алания;Северо-Кавказский;18 774;1824
